,AI.PA,AIR.PA,BN.PA,BNP.PA,CS.PA,DG.PA,DSY.PA,EL.PA,KER.PA,MC.PA,OR.PA,RI.PA,RMS.PA,SAF.PA,SAN.PA,SGO.PA,STLA.PA,SU.PA,TTE.PA,VIV.PA
2017-01-03,0.00236909983869214,0.01076641664608544,-0.0033255893407479952,0.025682277450460624,0.011941707375935423,0.010769287900883075,-0.008123971263707673,-0.009363364021193069,-0.01160651176309796,-0.011618421722725944,-0.019208990745773643,-0.0014524478874231041,-0.004322360343154982,0.0024775670217418323,0.005892251140829696,0.011440194811418057,0.0,-0.0071358571370989205,0.0026604143129231716,0.0008286865287755077
2017-01-04,-0.0009470050089896377,-0.001576020387975399,0.008623609791844632,0.014111861615260856,0.01159845517132634,-0.006755665257260289,0.006202221975210689,-0.008502663472526916,-0.013397754387338204,-0.008943552241222806,-0.0017646345341997519,0.0019361533552127088,-0.008058948417452434,-0.002769403610690068,0.0,-0.00301554529656583,0.0,0.003194634111326995,-0.0005110957562652401,0.0055065378656571785
2017-01-05,0.0004736146068014057,0.018750501657468825,0.009695255280500383,-0.009278550236800995,-0.00040470372330588515,0.0035370390146070574,0.001510284692764853,0.0,-0.008077934921193228,-0.006478035020745324,0.002645875047203205,0.0038610233007741485,-0.0033448836367753654,-0.011007669325879352,-0.0003832970443540828,-0.0026881496563413453,0.0,0.003033132167684073,0.0005110957562652322,0.0016461286343996964
2017-01-06,0.004252276142980717,0.008324403310105094,-0.0014728772886524995,0.004330059712121782,0.0118701756586859,0.009016702868798231,-0.00013719249676040498,0.003787897684499169,0.015856416428261983,0.012914289934698883,-0.0002936605589138591,0.008633088596699529,0.0069346936817521534,-0.0008859470296572256,-0.020392991316090237,0.005703694952907115,0.0,0.006038688575972012,-0.003275332429884836,0.004922085591529899
2017-01-09,-0.01281155846995952,0.002146901478110452,0.0070175774643827194,-0.021022815769370193,-0.015519820956506714,0.004099248679382626,0.006564555660727316,-0.005212075706299643,0.01584007384723553,0.009439253664822275,0.006440338911162485,0.0033373676126838745,0.0016622825418751415,-0.0013302247104446249,0.010764570666904958,0.0008917828243574206,0.0,0.0,-0.014145119983459664,-0.003005072927383444
2017-01-10,-0.0023906217953879056,-0.001226269829850212,-0.004727385277348224,-0.005571960673920959,-0.013497134397201415,-0.0013645113995261905,-0.006290189486405683,-0.0019020162209552496,0.001385710796131955,0.0008286654472756927,-0.0017523546758505563,-0.0023826553347677006,0.012316849227825093,-0.0041499803777033505,0.010139353308257989,0.0025594333521899043,0.0,0.013009456260419588,0.003010965464941391,-0.007414573721718906
2017-01-11,0.00952838683792479,0.0039798329604716865,-0.006557425560836319,-0.0037869403476570003,0.002262224313906189,-0.0051719610055696,0.0028765047830416612,-0.005249384936669855,0.028888586540984494,0.011801942174933038,0.004666109547438317,0.0,0.01066978017824931,0.004445701222542055,-0.012722627193459884,-0.0033396785537324358,0.0,-0.005064001601973385,0.005582573353821226,-0.004973768529491268
2017-01-12,-0.01192473740393999,-0.011832587290995913,-0.00016445960265141097,-0.0011553966108630654,-0.017406161556421558,-0.0009154342683181323,-0.003974486912085562,-0.026176937310469203,0.015352430824731532,0.017847975259332786,-0.008473460235910836,-0.006221618649005299,0.007587542457028332,-0.0062295986149764,-0.010139158434231596,0.00777519142701948,0.0,0.004915505846695279,0.004012551202638425,-0.01535268828249639
2017-01-13,0.007171892711513131,0.014578589127439562,-0.004286227084438919,0.026242246205686718,0.017611529157901047,0.0032004763903575105,0.010790242709520344,0.0029425761312780042,0.010105483365370803,0.012783097618264721,0.0061430825327726275,0.01949189771412633,0.007530404917938577,0.006525344812304262,0.01979236426421809,0.009031890024163129,0.0,0.008139081795608908,0.0030756949501924897,0.027467441217118926
2017-01-16,-0.019726356082110756,-0.007032578831958355,-0.003641139503253689,-0.0154011436988066,-0.024743930949227937,-0.0038112706451405394,-0.011339718950802397,0.11199856027331197,-0.010989113645340337,-0.0074369208447595285,-0.003798361887329737,-0.002828813055851025,0.004172839222632293,-0.006674175056246742,-0.01627104799761275,-0.007373589614642024,0.0,-0.007099508050684984,-0.007913347600322893,-0.026623842304623155
2017-01-17,-0.003894890378897047,0.0026047386294359366,-0.006153911256008767,-0.010675928100096235,-0.006123995875057456,-0.007358662062112677,-0.003027363821594042,0.005675645350279124,-0.0059847046596406646,-0.0037393042027832175,-0.007050539876391677,-0.006156794453547026,-0.010712424392659818,-0.0011910990366189574,-0.009023729715371496,-0.00033142329750596714,0.0,-0.0004454963906408286,-0.005483421592118815,-0.007900791374484802
2017-01-18,-0.0009761223504984233,-0.00783477633259392,0.00033361898800617773,-0.014470152632224174,-0.019463770551523714,0.0026124608995283407,-0.0017932291692878352,-0.01182407892780827,0.006426581135044114,0.006667580158417557,-0.00029487277470323863,0.014619482538114677,0.00370691150444562,0.0022322190557047825,0.004979662322276837,0.008362748201555317,0.0,0.0010390698407045018,0.0012441965900817677,-0.00568185532674955
2017-01-19,0.008266531145407237,0.009822163381177418,-0.004513178791923617,0.0011720335642627718,0.004740392876597016,0.00030683815581765525,-0.001243327420911791,-0.03223196162763332,0.01643151157539221,0.01005030340525293,0.005587410152762604,0.015331254032509775,0.006760519980905251,-0.05578645260311312,-0.009588349193466607,-0.0020841606787108946,0.0,0.002074680392715806,-0.013351598597100875,0.004264442258792041
